Title,Release Year,End Year,Rating,Cast,Runtime,Genre
Star Trek,1966.0,1969.0,8.4,"William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols",50 min,"Action, Adventure, Sci-Fi"
24,2001.0,2010.0,8.4,"Kiefer Sutherland, Mary Lynn Rajskub, Carlos Bernard, Dennis Haysbert",44 min,"Action, Crime, Drama"
Sex and the City,1998.0,2004.0,7.3,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon",30 min,"Comedy, Drama, Romance"
Gunsmoke,1955.0,1975.0,8.1,"James Arness, Milburn Stone, Amanda Blake, Ken Curtis",60 min,Western
Animal Kingdom,2016.0,2022.0,8.2,"Shawn Hatosy, Ben Robson, Jake Weary, Finn Cole",60 min,"Crime, Drama"
Perry Mason,1957.0,1966.0,8.3,"Raymond Burr, Barbara Hale, William Hopper, Ray Collins",60 min,"Crime, Drama, Mystery"
Love Life,2020.0,2021.0,7.5,"Anna Kendrick, Zoe Chao, Peter Vack, Sasha Compère",35 min,"Comedy, Romance"
The Good Place,2016.0,2020.0,8.2,"Kristen Bell, William Jackson Harper, Jameela Jamil, D'Arcy Carden",22 min,"Comedy, Drama, Fantasy"
Boardwalk Empire,2010.0,2014.0,8.6,"Steve Buscemi, Kelly Macdonald, Michael Shannon, Shea Whigham",55 min,"Crime, Drama"
Fringe,2008.0,2013.0,8.4,"Anna Torv, Joshua Jackson, John Noble, Jasika Nicole",46 min,"Drama, Mystery, Sci-Fi"
Cold Case,2003.0,2010.0,7.6,"Kathryn Morris, Danny Pino, John Finn, Jeremy Ratchford",44 min,"Crime, Drama, Mystery"
Friday Night Lights,2006.0,2011.0,8.7,"Kyle Chandler, Connie Britton, Zach Gilford, Aimee Teegarden",44 min,"Drama, Sport"
The Twilight Zone,2019.0,2020.0,5.9,"Jordan Peele, David Epstein, Kelly Ann Woods, Mark Silverman",60 min,"Drama, Fantasy, Horror"
Malcolm in the Middle,2000.0,2006.0,8.1,"Frankie Muniz, Bryan Cranston, Justin Berfield, Erik Per Sullivan",22 min,"Comedy, Family"
House of Cards,2013.0,2018.0,8.7,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara",51 min,Drama
How to Get Away with Murder,2014.0,2020.0,8.1,"Viola Davis, Billy Brown, Jack Falahee, Aja Naomi King",43 min,"Crime, Drama, Mystery"
Veep,2012.0,2019.0,8.4,"Julia Louis-Dreyfus, Tony Hale, Anna Chlumsky, Reid Scott",28 min,Comedy
Fleabag,2016.0,2019.0,8.7,"Phoebe Waller-Bridge, Sian Clifford, Olivia Colman, Jenny Rainsford",27 min,"Comedy, Drama"
The Good Wife,2009.0,2016.0,8.4,"Julianna Margulies, Chris Noth, Josh Charles, Matt Czuchry",43 min,"Crime, Drama, Mystery"
The Punisher,2017.0,2019.0,8.5,"Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore",53 min,"Action, Crime, Drama"
Boy Meets World,1993.0,2000.0,8.1,"Ben Savage, Rider Strong, William Daniels, Betsy Randle",23 min,"Comedy, Drama, Family"
Stargate SG-1,1997.0,2007.0,8.4,"Richard Dean Anderson, Michael Shanks, Amanda Tapping, Christopher Judge",44 min,"Action, Adventure, Drama"
Designated Survivor,2016.0,2019.0,7.5,"Kiefer Sutherland, Adan Canto, Italia Ricci, Kal Penn",60 min,"Action, Drama, Mystery"
Endeavour,2012.0,2023.0,8.6,"Shaun Evans, Roger Allam, James Bradshaw, Sean Rigby",89 min,"Crime, Drama, Mystery"
Star Trek: Voyager,1995.0,2001.0,7.8,"Kate Mulgrew, Robert Beltran, Roxann Dawson, Robert Duncan McNeill",44 min,"Action, Adventure, Sci-Fi"
Big Little Lies,2017.0,2019.0,8.5,"Reese Witherspoon, Nicole Kidman, Shailene Woodley, Zoë Kravitz",60 min,"Crime, Drama, Mystery"
Glee,2009.0,2015.0,6.8,"Lea Michele, Jane Lynch, Matthew Morrison, Cory Monteith",44 min,"Comedy, Drama, Music"
Married with Children,1987.0,1997.0,8.1,"Ed O'Neill, Christina Applegate, Katey Sagal, Amanda Bearse",22 min,Comedy
The Good Fight,2017.0,2022.0,8.3,"Christine Baranski, Sarah Steele, Nyambi Nyambi, Michael Boatman",45 min,"Crime, Drama"
The Leftovers,2014.0,2017.0,8.3,"Justin Theroux, Amy Brenneman, Christopher Eccleston, Liv Tyler",60 min,"Drama, Fantasy, Mystery"
Monk,2002.0,2009.0,8,"Tony Shalhoub, Jason Gray-Stanford, Ted Levine, Traylor Howard",44 min,"Comedy, Crime, Drama"
2 Broke Girls,2011.0,2017.0,6.6,"Kat Dennings, Beth Behrs, Garrett Morris, Jonathan Kite",22 min,Comedy
Desperate Housewives,2004.0,2012.0,7.6,"Teri Hatcher, Felicity Huffman, Marcia Cross, Eva Longoria",45 min,"Comedy, Drama, Mystery"
Futurama,1999.0,2023.0,8.5,"Billy West, John DiMaggio, Katey Sagal, Tress MacNeille",22 min,"Animation, Adventure, Comedy"
The O.C.,2003.0,2007.0,7.5,"Mischa Barton, Adam Brody, Peter Gallagher, Kelly Rowan",44 min,"Comedy, Drama, Romance"
Carnival Row,2019.0,2023.0,7.8,"Jamie Harris, Orlando Bloom, Cara Delevingne, Simon McBurney",56 min,"Crime, Drama, Fantasy"
The Originals,2013.0,2018.0,8.3,"Joseph Morgan, Daniel Gillies, Claire Holt, Phoebe Tonkin",45 min,"Drama, Fantasy, Horror"
Mom,2013.0,2021.0,7.3,"Allison Janney, Anna Faris, Mimi Kennedy, Beth Hall",30 min,"Comedy, Drama, Romance"
Charmed,1998.0,2006.0,7.1,"Holly Marie Combs, Alyssa Milano, Brian Krause, Rose McGowan",42 min,"Drama, Fantasy, Mystery"
The Mindy Project,2012.0,2017.0,7.5,"Mindy Kaling, Ike Barinholtz, Ed Weeks, Chris Messina",30 min,Comedy
The Americans,2013.0,2018.0,8.4,"Keri Russell, Matthew Rhys, Keidrich Sellati, Holly Taylor",44 min,"Crime, Drama, Mystery"
Gotham,2014.0,2019.0,7.8,"Ben McKenzie, Jada Pinkett Smith, Donal Logue, Camren Bicondova",42 min,"Action, Crime, Drama"
Ash vs Evil Dead,2015.0,2018.0,8.4,"Bruce Campbell, Ray Santiago, Dana DeLorenzo, Lucy Lawless",30 min,"Action, Comedy, Fantasy"
Everybody Loves Raymond,1996.0,2005.0,7.2,"Ray Romano, Patricia Heaton, Brad Garrett, Doris Roberts",22 min,Comedy
A Discovery of Witches,2018.0,2022.0,7.9,"Matthew Goode, Teresa Palmer, Alex Kingston, Gregg Chilingirian",60 min,"Drama, Fantasy, Romance"
Last Man Standing,2011.0,2021.0,7.5,"Tim Allen, Nancy Travis, Hector Elizondo, Christoph Sanders",30 min,Comedy
The Man in the High Castle,2015.0,2019.0,7.9,"Alexa Davalos, Luke Kleintank, Rufus Sewell, Rupert Evans",60 min,"Drama, Sci-Fi, Thriller"
In the Dark,2019.0,2022.0,7.5,"Perry Mattfeld, Casey Deidrick, Morgan Krantz, Keston John",42 min,"Action, Crime, Horror"
Veronica Mars,2004.0,2019.0,8.4,"Kristen Bell, Jason Dohring, Enrico Colantoni, Percy Daggs III",44 min,"Crime, Drama, Mystery"
Agents of S.H.I.E.L.D.,2013.0,2020.0,7.5,"Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker",45 min,"Action, Adventure, Drama"
13 Reasons Why,2017.0,2020.0,7.5,"Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe",60 min,"Drama, Mystery, Thriller"
Locke & Key,2020.0,2022.0,7.3,"Darby Stanchfield, Connor Jessup, Emilia Jones, Jackson Robert Scott",48 min,"Drama, Fantasy, Horror"
The Tudors,2007.0,2010.0,8.1,"Jonathan Rhys Meyers, Henry Cavill, Anthony Brophy, James Frain",60 min,"Drama, History, Romance"
After Life,2019.0,2022.0,8.4,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan",30 min,"Comedy, Drama"
"Beverly Hills, 90210",1990.0,2000.0,6.5,"Jason Priestley, Shannen Doherty, Luke Perry, Jennie Garth",44 min,"Drama, Romance"
Entourage,2004.0,2011.0,8.5,"Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara",28 min,"Comedy, Drama"
Girls,2012.0,2017.0,7.4,"Lena Dunham, Allison Williams, Jemima Kirke, Adam Driver",28 min,"Comedy, Drama"
The Golden Girls,1985.0,1992.0,8.1,"Bea Arthur, Betty White, Rue McClanahan, Estelle Getty",30 min,"Comedy, Drama"
Bleach: Burîchi,2004.0,2012.0,8.2,"Johnny Yong Bosch, Michelle Ruff, Stephanie Sheh, Jamieson Price",24 min,"Animation, Action, Adventure"
Grimm,2011.0,2017.0,7.8,"David Giuntoli, Russell Hornsby, Silas Weir Mitchell, Sasha Roiz",45 min,"Crime, Drama, Fantasy"
Firefly,2002.0,2003.0,9,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin",44 min,"Adventure, Drama, Sci-Fi"
Snowpiercer,2020.0,2023.0,6.9,"Daveed Diggs, Mickey Sumner, Alison Wright, Iddo Goldberg",60 min,"Action, Drama, Sci-Fi"
Rome,2005.0,2007.0,8.7,"Kevin McKidd, Ray Stevenson, Polly Walker, Kerry Condon",52 min,"Action, Drama, Romance"
Deadwood,2004.0,2006.0,8.6,"Timothy Olyphant, Ian McShane, Molly Parker, Brad Dourif",55 min,"Crime, Drama, History"
Luther,2010.0,2019.0,8.4,"Idris Elba, Dermot Crowley, Michael Smiley, Warren Brown",60 min,"Crime, Drama, Mystery"
Skins,2007.0,2013.0,8.2,"Kaya Scodelario, Nicholas Hoult, Joe Dempsie, Hannah Murray",46 min,Drama
